,diagnosis,num
7184,"RIB FX, S/P FALL",1
7185,RIB; FX/ ETOH,1
7186,RIB;SCAPULAR FXS;HEMO-PNEUMOTHORAX,1
7187,RIGHT-SIDED PARALYSIS,1
7188,RIGHT  CORONARY INTERVENTION\RIGHT CORONARY ARTERY DISSECTION,1
7189,RIGHT  SUBCLAVIAN ANEURYSM/SDA,1
7190,RIGHT ACETABULAR FRACTURE,1
7191,RIGHT ACOUSTIC NEUROMA/SDA,1
7192,RIGHT ACQUIRED BREAST DEFORMITY/SDA,1
7193,RIGHT ADRENAL MASS/SDA,1
7194,RIGHT ADRENAL NEOPLASM/SDA,1
7195,RIB FRACTURE; STERNAL FRACTURE,1
7196,"RIB FRACTURE, HEMOTHORAX",1
7197,RETROSTERNAL HEMATOMA,1
7198,RIB FRACTURE AND LUNG PUNCTURE,1
7199,REVASCULARZATION OF LEFT ARM,1
7200,RF,1
7201,RHABDO,1
7202,RHABDO COMPARTMENT SYNDROME,1
7203,RHABDO MYOLYSIS,1
7204,RHABDO; AFIB,1
7205,RHABDO;LIVER FAILURE;ALTERED MENTAL STATUS,1
7206,RHABDO;RENAL FAILURE,1
7207,RHABDO;TELEMETRY,1
7208,RHABDOMMYOLYSIS,1
7209,RHABDOMYALASIS;TELEMETRY,1
7210,RHABDOMYELOSIS,1
7211,RHABDOMYOLOSIS;ETOH INTOXICATION,1
7212,RHABDOMYOLOSIS;RENAL FAILURE,1
7213,RHABDOMYOLSIS,1
7214,"RHABDOMYOLYSIS,COMPARTMENT SYNDROME",1
7215,RHABOMYOLSIS,1
7216,RHADOMYOLYSIS;SUBDURAL HEMORRHAGE,1
7217,RHEUMATIC HEART DISEASE;ATRIAL FIBRILLATION,1
7218,RHEUMATIC HEART DISEASE\ AORTIC AND MITRAL VALVE REPLACEMENT/SDA,1
7219,RHEUMATIC HEART DISEASE\MITRAL VALVE REPLACEMENT REDO  TRICUSPID VALVE REPLACEMENT /SDA,1
7220,RECURRENT LEFT TUBERCULUM CELLA MENIGIOMA/SDA,1
7221,"RECURRENT LEFT CAROTID STENOSIS,PRE HYDRATION",1
7222,RECURRENT INTERNAL CARDIOVERTER DEFIBRILLATOR SHOCKS;HEART FAILURE MANAGEMENT,1
7223,PULMONARY EMBOLIS;,1
7224,PULMONARY EDEMA;SVT,1
7225,PULMONARY EDEMA\CARDIAC CATHETERIZATION,1
7226,PULMONARY EDEMIA\CATH,1
7227,PULMONARY EFFUSION,1
7228,PULMONARY EFFUSION;TELEMETRY,1
7229,PULMONARY EMBOLI; COPD,1
7230,PULMONARY EMBOLI;HYPOXIA,1
7231,PULMONARY EMBOLI\R HEART CATH,1
7232,PULMONARY EMBOLIS-DIABETIC KETOACIDOSIS,1
7233,PULMONARY EMBOLIS-HEMATEMESIS,1
7234,PULMONARY EMBOLIS; RIGHT VENTRICULAR THROMBUS,1
7235,RECURRENT INCISIONAL HERNIAS X2/SDA,1
7236,PULMONARY EMBOLIS; SEPSIS,1
7237,PULMONARY EMBOLIS;ENDOCARDITIS,1
7238,PULMONARY EMBOLIS;HYPOTENSION,1
7239,PULMONARY EMBOLIS;HYPOXIA;NEW CA DX,1
7240,PULMONARY EMBOLIS;PNEUMONIA,1
7241,PULMONARY EMBOLIS;POSSIBLE CARCINOMA,1
7242,PULMONARY EMBOLIS;SUBDURAL HEMATOMA,1
7243,PULMONARY EMBOLIS;SUPER VENTRICULAR TACHYCARDIA,1
7244,PULMONARY EMBOLIS;URINARY TRACT INFECTION,1
7245,"PULMONARY EMBOLISM,PERICARDIAL EFFUSION",1
7246,PULMONARY EDEMA;MYOCARDIAL INFARCTION\CATH;POSSIBLE ANGIOPLASTY\STENTPLACEMENT,1
7247,PULMONARY EDEMA;MYOCARDIAL INFARCTION,1
7248,PULMONARY EDEMA;HYPERTENSION,1
7249,PULMONARY EDEMA;HYPERGLYCEMIA,1
7250,PULMOARY EDEMA;ANEMIA,1
7251,PULMOMNARY EMBOLUS,1
7252,PULMONAARY EDEMA,1
7253,PULMONARY ALBEOLAR PROPEINOSIS,1
7254,PULMONARY ALVEOLAR PROTEINOSIS,1
7255,PULMONARY ALVEOLAR PROTEINOSIS\ LUNG LAVAGE BILATERAL HOLES,1
7256,PULMONARY ARTERY STENOSIS\ PULMONARY ARTERY RESECTION AND REPAIR/SDA,1
7257,PULMONARY AVEOLAR PROTEINOSIS/SDA,1
7258,PULMONARY CONTUSION,1
7259,PULMONARY EDEMA-R/O MI,1
7260,"PULMONARY EDEMA, MI",1
7261,"PULMONARY EDEMA, MITRAL VALVE REGURGITATION",1
7262,"PULMONARY EDEMA,AORTIC STENOSIS",1
7263,"PULMONARY EDEMA,ARF",1
7264,"PULMONARY EDEMA,CARDIAC ARREST",1
7265,PULMONARY EDEMA; ANEMIA,1
7266,PULMONARY EDEMA; S/P MI/CARDIAC CATHERIZATION,1
7267,PULMONARY EDEMA;ANEMIA,1
7268,PULMONARY EDEMA;ANEMIA; NON ST ELEVATION MYOCARDIAL INFARCTION,1
7269,PULMONARY EDEMA;CARDIOGENIC SHOCK\RIGHT HEART CATH,1
7270,PULMONARY EDEMA;CHEST PAIN;TELEMETRY,1
7271,PULMONARY EMBOLISM\THROMBECTOMY,1
7272,PULMONARY EMBOLUS-GASTROINTESTINAL BLEED,1
7273,PULMONARY EMBOLUS-S/P IVC FILTER,1
7274,PULMONARY VALVE DISORDER\REDO PULMONARY VALVE REPLACEMENT /SDA,1
7275,PULMONARY VEIN INJURY\THORACOSCOPIC MAZE PROCEDURE LEFT;MINI MAZE;BILATERAL MINI THORACOTOMY;PULMONARY VEIN ISOLATION;RESECTION OF LEFT ATRIAL APPENDAGE/SDA,1
7276,PULMONAY EMBOLISM,1
7277,PULOMARY EMBOLIS;TELEMETRY,1
7278,PULOMONARY EMBOLIS;TELEMETRY,1
7279,PULOMONARY FIBROSIS,1
7280,"PULONARY NODULE, RIGHT /SDA",1
7281,PULSELESS ARREST,1
7282,PULSELESS FOOT,1
7283,PULSELESS FOOT;TELEMETRY,1
7284,PULSELESS LEFT FOOT,1
7285,PULSELESS R. LOWER EXTREMETY,1
7286,PULSLESS FOOT,1
7287,PUMONARY NODULES/SDA,1
7288,PURULENT STERNAL INCISION WOUND,1
7289,PV THROMBOSIS; RAF; PNA,1
7290,PVD;END STAGE RENAL DISEASE;CHEST PAIN\CATH,1
7291,PVD\AA R UNOFFS,1
7292,PVD\AAA RUNOFFS,1
7293,PVD\AORTIC RUN-OFFS,1
7294,PVD\ARTERIOGRAM,1
7295,PVD\LEFT HEART CATHETERIZATION,1
7296,PULMONARY VASCULITIS,1
7297,PULMONARY SEPTIC EMBOLI,1
7298,PULMONARY EMBOLUS;JAUNDICE,1
7299,PULMONARY POLYCRONDRITIS,1
7300,PULMONARY EMBOLUS;RENAL FAILURE,1
7301,PULMONARY EMBULUS,1
7302,PULMONARY FIBROSIS PNEUMONIA,1
7303,PULMONARY FIBROSIS; PNEUMONIA,1
7304,PULMONARY FIBROSIS;HAMMOND RICH SYNDROME,1
7305,PULMONARY FIBROSIS;OBSTRUCTIVE JAUNDICE,1
7306,PULMONARY HEMMORHAGE,1
7307,PULMONARY HTN,1
7308,PULMONARY HTN\CATH,1
7309,PULMONARY HYPERTENSION/SDA,1
7310,PULMONARY HYPERTENSION;MITRAL STENOSIS,1
7311,PULMONARY HYPERTENSION;PULMONARY VENO-OCCLUSIVE DISEASE\RIGHT HEART CATH/SDA,1
7312,PULMONARY HYPERTENSION;SHORTNESS OF BREATH,1
7313,PULMONARY HYPERTENSION;SYNCOPE,1
7314,PULMONARY HYPERTENSION;SYSTEMIC SCLEROSIS;ENDSTAGE CHF;ELEVATED INR\RIGHT HEART CATH/SDA,1
7315,PULMONARY HYPERTENSION\CENTRAL LINE PLACEMENT/REMODULIN INFUSION,1
7316,PULMONARY HYPERTENSION\INITIATION OF FLOLAN,1
7317,PULMONARY HYPERTENSION\RIGHT HEART CATH,1
7318,PULMONARY INFILTRATE,1
7319,PULMONARY INFILTRATES,1
7320,PULMONARY INFUSION,1
7321,PULM FIBROSIS FLARE,1
7322,PULM EDEMA,1
7323,PTX; RESPIRATORY FAILURE,1
7324,POSTOPERATIVE INFECTION/SDA,1
7325,POUCHITIS,1
7326,PRE-HYDRATION;CORONARY ARTERY DISEASE;PVD\CATH AND LOWER EXTREMITY ANGIOGRAM,1
7327,PRE-OP FOR MVR ON 1/21/02,1
7328,PRE-OP PANCREAS,1
7329,PRE-SEPSIS,1
7330,PRE-SYNCOPE,1
7331,PRE-SYNCOPE;TELEMETRY,1
7332,PRE OP AVR;MVR\CATH,1
7333,PRE OP LIVER,1
7334,PRE OP LIVER TRANSPLANT,1
7335,PRE OP LIVER TX,1
7336,PRE OP PANCREAS TRANSPLANT,1
7337,PRE SYNCOPE,1
7338,PRE TERM CONTRACTIONS;31 WEEKS,1
7339,PRE/OP PANCREAS TRANSPLANT,1
7340,PREMATURITY/S/P SURGERY,1
7341,PREMATURITY;POOR RESPIRATORY EFFORT,1
7342,PREMTURITY,1
7343,PRENEPHRIC HEMATOMA,1
7344,"PREOP HEPARIN/ AORTIC VALVE REPLACEMENT\AORTIC VALVE REPLACEMENT, RE-DO",1
7345,PREOP HYDRATION,1
7346,POSTPARTUM CARDIOMYOPATHY;TELEMETRY,1
7347,POSTOPERATIVE BILE LEAK,1
7348,PRES SYNDROME,1
7349,POSTOP BLEED,1
7350,POST OPERATIVE ILEUS,1
7351,POST PARTUM CARDIOMYOPATHY,1
7352,POST PARTUM FEVER,1
7353,POST PROCEDURE BLEED;GASTROINTESTINAL BLEED;S/P ERCP,1
7354,POST PROCEDURE ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY;? SEPSIS,1
7355,POST PROCEDURE ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY;RESPIRATORY ARREST,1
7356,POST SPHINCTERECTOMY BLEED,1
7357,POST ST ELEVATION MI,1
7358,POST TRANSPLANTATION STRICTURE\BRONCHOSCOPY RIGID; WITH LASER,1
7359,POST TRAUMATIC ARTHRITIS INFECTION LEFT KNEE/SDA,1
7360,POST TRAUMATIC STRESS DISCORDER,1
7361,POSTERIOR COMMUNICATING ARTERY ANEURYSM/SDA,1
7362,POSTERIOR DECOMPRESSION T9-L4,1
7363,POSTERIOR FOSSA BLEED,1
7364,POSTERIOR FOSSA HEMORRHAGE,1
7365,POSTERIOR FOSSA MASS,1
7366,POSTERIOR FOSSA MASS LESION,1
7367,POSTERIOR FOSSA MENIGIOMA LEFT/SDA,1
7368,POSTERIOR INFERIOR CEREBELLAR ARTERY ANEURYSM/SDA,1
7369,POSTERIOR NASAL BLEED,1
7370,POSTERIOR NOSE BLEED,1
7371,PREOP KIDNEY,1
7372,PRESTHETIC VALVE ENDOCARDITIS;1ST &2ND AV BLOCK,1
7373,PTC FOR CHOLESTASIS,1
7374,PROLONGED HYPOGLYCEMIA;END STAGE RENAL DISEASE,1
7375,PROSTATE ABSCESS,1
7376,PROSTATE CANCER; ? CORD COMPRESSION,1
7377,PROSTATE CANCER;DVT,1
7378,PROSTATE NODULE;S/P AORTIC VALVE REPLACEMENT\COLONOSCOPY;PROSTATE BIOPSY,1
7379,PROSTATITIS,1
7380,PROSTATITIS;FEVER,1
7381,PROSTETIC VALVE ENDOCARDITIS,1
7382,PSEUDO ANEURYSM,1
7383,PSEUDO ANEURYSM/SDA,1
7384,PSEUDO ANEURYSM\REDO AORTIC ARCH RECONSTRUCTION/SDA,1
7385,PSEUDO AORTIC ANEURYSM\ REPAIR OF PSEUDO ANEURYSM/SDA,1
7386,PSEUDOANEURYSM OF THE DESCENDING THORACIC AORTA\BENTALL PROCEDURE; TRANS AORTIC ANEURYSM STENT/SDA,1
7387,PSEUDOANEURYSM OR PULMONARY ARTERY,1
7388,PSEUDOANEURYSM RUPTURE,1
7389,"PSEUDOARTHROSIS, C5-C6/SDA",1
7390,PSEUDOCYST,1
7391,PSEUDOOBSTRUCTION,1
7392,PSOAS ASSCESS,1
7393,PSORIATIC ARTHRITIS\ORENCIA INFUSION,1
7394,PSYCHOGENIC LARYNGOSPASM,1
7395,PSYCHOGENIC POLYDISPIA,1
7396,PROLONGED PREMATURE RUPT OF MEMB,1
7397,PROLAPSE UTERUS,1
7398,PRESYCOPE;RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY,1
7399,PROGRESSIVE WEAKNESS,1
7400,PRESYNCOPE;PALPITATIONS;CORONARY ARTERY DISEASE;HYPERTENSION\CATH,1
7401,PRIMARY BILIARY CIRRHOSIS;END STAGE LIVER DISEASE,1
7402,PRIMARY PULMONARY HYPERTENSION\SWAN-GANZ CATHERER PLACEMENT,1
7403,PRIMARY SCLEORSING CHOLANGITIS,1
7404,PRIMARY SCLEROSING CHOLANGITIS,1
7405,PRIMARY SCLEROSING CHOLANGITIS CIRRHOSIS;RENAL FAILURE,1
7406,PRIMARY SCLEROSING CHOLANGITIS;POSSIBLE STRICTURE\ERCP,1
7407,PRIMARY SCLEROSING CHOLANGITS;LIVING UNRELATED LIVER TRANSPLANT/SDA,1
7408,PRIMARY SCLEROSIS CHOLANGITIS,1
7409,PROBABLE ACUTE LEUKEMIA;PNEUMONIA,1
7410,PROBABLE DELERIUM TREMONS,1
7411,PROBABLE PNA,1
7412,PROCTITIS,1
7413,PROFOUND DEHYDRATION,1
7414,PROGRESSIVE ANGINA;CORONARY ARTERY DISEASE\CARDIAC CATH,1
7415,PROGRESSIVE ANGINA;STENOSIS\CARDIAC CATH,1
7416,PROGRESSIVE ANGINA\LEFT HEART CATHETERIZATION,1
7417,PROGRESSIVE EXERTIONAL DYSPNEA;CORONARY ARTERY DISEASE\CARDIAC CATH/SDA,1
7418,PROGRESSIVE HEART FAILURE;ANGINA;MITRAL REGURGITATION\COMPLETE HEART CATH,1
7419,PROGRESSIVE PARAPLEGIA,1
7420,PROGRESSIVE RESPIRATORY DISEASE,1
7421,PVD\LEFT LEG ANGIO,1
7422,PVD\LEFT LEG ANGIOGRAM,1
7423,PVD\LOWER EXTREMITY ANGIOGRAM,1
7424,RA MASS W\CLOT,1
7425,RACH DISLODGED,1
7426,RADIUS AND ULNA FRACTURES;OSTEOPENIA;POST OPERATIVE BLEEDING,1
7427,RAPID  AFIB;UTI,1
7428,RAPID A- FIB/PNEUMONIA,1
7429,"RAPID A-FIB,SDH, PELVIC FRACTURE",1
7430,RAPID AF CHF,1
7431,RAPID AFIB-URINARY TRACT INFECTION,1
7432,RAPID AFIB UTI,1
7433,RAPID AFIB; CHF,1
7434,RAPID AFIB;CONGESTIVE HEART FAILURE,1
7435,RAPID AFIB;FEVER;ABDOMINAL PAIN,1
7436,RAPID ATRIAL FIB,1
7437,RAPID ATRIAL FIBRILLATION;AORTIC ANEURYSM;ANEMIA,1
7438,RAPID ATRIAL FIBRILLATION;CORONARY ARTERY DISEASE;LATERAL ST DEPRESSION\CATH,1
7439,RAPID ATRIAL FIBRILLATION;MITRAL REGURGITATION,1
7440,RAPID ATRIAL FIBRILLATION;NON ST ELEVATION MYOCARDIAL INFARCTION\LEFT HEART CATHETERIZATION,1
7441,RAPID ATRIAL FIBRILLATION;PULMONARY EDEMA,1
7442,RAPID ATRIAL FIBRILLATION;RULE-OUT MYOCARDIAL INFARCTION;PNEUMONIA,1
7443,RAPID ATRIAL FIBRILLATION;STATUS POST LIVER TRANSPLANT,1
7444,RAPID ATRIALFIBRILLATION;HYPOTENSION;ELEVATED INR,1
7445,"RAPID HEART RATE,RENAL INSUFFICIENCY",1
7446,"RABDO,RESPIRATORY FAILURE",1
7447,R/O VERTEBRAL ARTERY DISSECTION,1
7448,RASH/UTI,1
7449,R/O UROSEPSIS,1
7450,R/O PULMONARY EMBOLUS-CHEST PAIN,1
7451,R/O RESPIRATORY DISTRESS,1
7452,R/O SAH,1
7453,R/O SEIZURE VS STROKE,1
7454,R/O SEIZURE;DEYDRATIONS,1
7455,R/O SEPSIS-DKA-IMMUNO SUPRESSED KIDNEY TX,1
7456,R/O SEPSIS /ERCP,1
7457,R/O SEPSIS ANAPLASTIC  ASTROYTOMA,1
7458,"R/O SEPSIS, S/P LAP CHOLE.",1
7459,R/O SEPSIS;RENAL FAILURE,1
7460,R/O SEPSIS;SMALL BOWEL OBSTRUCTION,1
7461,R/O SEPTIC SHOCK,1
7462,R/O SMA THROMBOSIS,1
7463,R/O SMALL BOWEL OBSTRUCTION,1
7464,R/O SMV THROMBOSIS,1
7465,R/O ST SEGMENT MI,1
7466,R/O SUBARACHNOID HEMORRHAGE,1
7467,R/O TAMPONADE,1
7468,R/O TB,1
7469,R/O TB-ADENOCARCINOMA-UNKNOWN PAIN-FEVER-R/O INFECTION,1
7470,R/O TIA,1
7471,RAPID VENTRICULAR RATE,1
7472,RASH; ? SYPHILLIS,1
7473,R/O PERICARDITIS;UROSEPSIS,1
7474,RECURRENT ATRIAL FIBRILLATION\PULMONARY VEIN ISOLATION  **REMOTE WEST**/SDA,1
7475,RECURRENT ATRIAL TACHYCARDIA\PULMONARY VEIN ISOLATION  **REMOTE WEST**/SDA,1
7476,RECURRENT BILATERAL PLEURAL FUSION,1
7477,RECURRENT BILIARY CANCER,1
7478,RECURRENT BRAIN TUMOR,1
7479,RECURRENT CANCER ABDOMINAL SUTURE LINE,1
7480,"RECURRENT CAROTID STENOSIS, LEFT\ CAROTID ANGIOGRAM, LEFT; ? STENT PLACEMENT",1
7481,RECURRENT CAROTID STENOSIS\ CAROTID ANGIOGRAM/SDA,1
7482,RECURRENT CERVICAL CANCER;PAIN,1
7483,RECURRENT CHEST PAIN;CORONARY ARTERY DISEASE\LEFT HEART CATHETERIZATION,1
7484,RECURRENT CHEST PAIN;DYSPNEA ON EXERTION;CORONARY ARTERY DISEASE\CARDIAC CATHETERIZATION,1
7485,RECURRENT CHEST PAIN\CATH,1
7486,RECURRENT COLON CANCER/SDA,1
7487,RECURRENT CONJESTIVE HEART FAILURE;ATRAIL FIBRILLATION,1
7488,RECURRENT DYSPNEA,1
7489,"RECURRENT ENDOCARDITIS, ENLARGED AORTIC ROOT\ BENTAL PROCEDURE HOMOGRAFT REDO/SDA",1
7490,RECURRENT ENDOMETRIAL SARCOMA/SDA,1
7491,RECURRENT ESOPHAGEAL CANCER/SDA,1
7492,RECURRENT GASTRIC CANCER/SDA,1
7493,RECURRENT HEMOPTYSIS,1
7494,RECURRENT HIATAL HERNIA/SDA,1
7495,RECURRENT HODGKINS LYMPHOMA;DYSPNEA,1
7496,RECURRENT ATRIAL TACHYCARDIA\LEFT ATRIAL TACHYCARDIAC ABLATION/SDA,1
7497,RECURRENT ATRIAL FIBRILLATION\PULMONARY VEIN ISOLATION  **REMOTE WEST**,1
7498,RASH;FEVER;RAPID ATRIAL FIBRILLATION,1
7499,RECURRENT ASPIRATION; MENTAL RETARDATION/SDA,1
7500,RASP FAILURE BMT,1
7501,RAYNAUDS,1
7502,RCC WITH METS TO CEREBELLUM,1
7503,"RE-DO CABBAGE\CORONARY ARTERY BYPASS GRAFT, RE-DO",1
7504,REACTIVE AIRWAY DISEASE,1
7505,RECTAL AND ANAL STENOSIS/SDA,1
7506,RECTAL BLEEDING;COAGULOPATHY,1
7507,RECTAL BLEEDING;HIGH INR,1
7508,RECTAL CA/GIB,1
7509,RECTAL CANCER;ASCENDING CHOLANGITIS,1
7510,"RECTAL CARCINOMA, DISTAL/SDA",1
7511,RECTAL FISTULA;DEHYDRATION,1
7512,RECTAL MALIGNANT NEOPLASM/SDA,1
7513,RECTAL MASS/SDA,1
7514,RECTAL NEURONAL DISTONA/SDA,1
7515,RECTAL PROLASPE,1
7516,"RECTAL, VAGINAL FISTULA/SDA",1
7517,RECTUS HEMATOMA,1
7518,RECTUS SHEATH HEMATOMA;COAGULOPATHY,1
7519,RECURRENT ANGINA\CARDIAC CATH,1
7520,RECURRENT ANGINA\CATH,1
7521,R/O PULMONARY EMBOLUS,1
7522,R/O PERFORATED ILEUM,1
7523,PVD\PARIPHERAL ANGIOGRAM,1
7524,R SIDED WEAKNESS,1
7525,R. LOWER LOBE PNEUMONIA,1
7526,R. THUMB AMPUTATION,1
7527,R. VENTRICULAR MI,1
7528,R.U.Q. PAIN,1
7529,R/I MI,1
7530,R/O AIRWAY OBSTRUCTION,1
7531,R/O AORTIC VALVE THROBOSIS,1
7532,R/O APNEA,1
7533,R/O ARDS,1
7534,R/O ASPIRATION,1
7535,R/O BILIARY OBSTRUCTION,1
7536,R/O BILIARY OBSTRUCTION;HEPATITIS,1
7537,R/O BILIARY PERFERATION,1
7538,R/O BOWL ISCHEMIA,1
7539,R/O CAD; CARDIAC CATH,1
7540,R/O CAD;CHEST PAIN\CARDIAC CATH,1
7541,R/O CAROTID DISECTION,1
7542,R/O CEREBRITIS,1
7543,R/O CHOLECYSTITIS,1
7544,R/O COMMON BILE DUCT STONE\ERCP,1
7545,R/O COMPARTMENT SYNDROME,1
7546,R. FACIAL SWELLING/ R. MANDIBULAR REPAIR,1
7547,R KIDNEY BLEED,1
7548,R/O CORONARY ARTERY DISEASE;HEART CATHERIZATION\LEFT HEART CATHETERIZATION,1
7549,R HIP FX,1
7550,PVD\RIGHT LEG ANGIO,1
7551,PYELONEPHRITIS-KIDNEY STONE,1
7552,PYELONEPHRITIS & ASPIRATION PNEUMONIA,1
7553,PYELONEPHRITIS/SDA,1
7554,PYELONEPHRITIS;ACUTE RENAL FAILURE,1
7555,PYELONEPHRITIS;PULMONARY EMBOLIS,1
7556,PYELONEPHRITIS;RIGHT KIDNEY OBSTRUCTION,1
7557,PYELONEPHRITIS;SEPSIS,1
7558,PYLEONEPHRITIS;CO2 RETENTION,1
7559,PYRAMETHAMINE DESENSITIZATION,1
7560,QUESTION OF OSTEOMYLITIS,1
7561,QUESTION OF OVERDOSE,1
7562,QUESTION OF SAH,1
7563,QUESTION OF SEIZURES;HYPONATREMIA;PNEUMONIA,1
7564,QUESTION OF STROKE,1
7565,QUESTION SEPSIS,1
7566,QUESTIONABLE PRE-SEPSIS;LINE INFECTION;FEVER,1
7567,QWAVE MI;TELEMETRY,1
7568,R-SIDED WEAKNESS,1
7569,R FEMUR & LIVER LACERATION,1
7570,R FEMUR FRACTURE; RENAL FAILURE,1
7571,R/O CORD COMPRESSION',1
7572,R/O CVA;CHEST PAIN,1
7573,R/O PE,1
7574,R/O MI N/V,1
7575,"R/O MI, BRBPR",1
7576,"R/O MI, FEVER",1
7577,"R/O MI, L. HIP FRACTURE",1
7578,"R/O MI,NEW ACUTE RENAL FAILURE,ANEMIA",1
7579,R/O MI/CATH,1
7580,R/O MI; BRONCHITIS,1
7581,R/O MI; CHF,1
7582,R/O MYASTHENIA GRAVIS,1
7583,R/O MYOCARDIAL INFARCTION-ACUTE CORONARY SYNDROME,1
7584,R/O MYOCARDIAL INFARCTION-CHF EXACERBATION,1
7585,R/O MYOCARDIAL INFARCTION-FAILURE TO THRIVE,1
7586,R/O MYOCARDIAL INFARCTION-FAILURE TO THRIVE-ABD PAIN,1
7587,R/O MYOCARDIAL INFARCTION-FEVER,1
7588,R/O MYOCARDIAL INFARCTION-SOB-HYPERKALEMIA,1
7589,R/O MYOCARDIAL INFARCTION-SYNCOPE,1
7590,R/O MYOCARDITIS,1
7591,R/O NECROTISING FASCITIS,1
7592,R/O OBSTRUCTION,1
7593,R/O OBSTRUCTION-ABDOMINAL PAIN,1
7594,R/O PANCREATITIS,1
7595,R/O PANCREATITIS-SPONTANEOUS BACTERIAL PERITONITIS,1
7596,R/O MI S/P KIDNEY TRANSPLANT,1
7597,R/O MI FOR CATH,1
7598,R/O CVA;SYNCOPE,1
7599,R/O MI CHEST PAIN,1
7600,R/O DEHYDRATION,1
7601,R/O DISSECTION,1
7602,R/O EMPHYSEMATOUS GASTRITIS;COLITIS,1
7603,R/O EPIDURAL ABSCESS,1
7604,R/O EPIGLOTTITIS,1
7605,R/O FLU; AML,1
7606,R/O HEAD BLEED; S/P KIDNEY TX,1
7607,R/O HEAT STROKE,1
7608,R/O HEMORRHAGIC STROKE,1
7609,R/O HERSCH.,1
7610,R/O ISCHEMIC BOWEL,1
7611,R/O LEG INFECTION,1
7612,R/O LYMPHOMA;CHRONIC OBSTRUCTIVE PULMONARY DISEASE,1
7613,R/O M.I.-COPD EXACERBATION-RESP DISTRESS,1
7614,R/O MEDIASTINITIS,1
7615,R/O MENINGITIS-FEVER,1
7616,R/O MENINGITITIS,1
7617,R/O MENINGOENCEPHALITIS,1
7618,R/O MESENTERIC ISCHEMIA,1
7619,R/O MESENTERICISCHEMIA,1
7620,R/O MI-CONGESTIVE HEART FAILURE,1
7621,RIGHT HUMEROUS FRACTURE,1
7622,RIGHT ICA STENOSIS,1
7623,SEPSIS;HYPOTENSION;ACUTE RENAL FAILURE,1
7624,S/P NAIL THROUGH EYE INTO BRAIN,1
7625,S/P MVC;C-1 FRACTURE,1
7626,S/P MVC;COMPAT SYNDROME;TIB FRACTURE,1
7627,S/P MVC;HEAD INJURY,1
7628,S/P MVC;LIVER LACERATION;RIGHT ANKLE FRACTURE,1
7629,S/P MVC;SKULL FX;PELVIS FX,1
7630,S/P MVC;SUBARACHNOID HEMORRHAGE,1
7631,S/P MVC;SYNCOPE,1
7632,S/P MYOCARDIAL INFARCTION,1
7633,S/P MYOCARDIAL INFARCTION;CHEST PAIN;CORONARY ARTERY DISEASE\CATH,1
7634,S/P MYOCARDIAL INFARCTION\CATH,1
7635,S/P NECK EXPLORATION,1
7636,S/P TRAUMA;CHRONIC ALCOHOLISM;DT,1
7637,S/P NECROTIZING FASCITIS,1
7638,S/P NON Q MI;CONGESTIVE HEART FAILURE\CATH,1
7639,S/P NON Q W MI\LEFT HEART CATHETERIZATION,1
7640,S/P NON Q WAVE MI;ALTERED MENTAL STATUS\CATH,1
7641,S/P NON Q WAVE MI\LEFT HEART CATHETERIZATION,1
7642,S/P NOTOR VEHICLE ACCIDENT,1
7643,S/P NQMI\CATH,1
7644,S/P NQW\LEFT HEART CATHETERIZATION,1
7645,S/P NQWMI\LEFT HEART CATHETERIZATION,1
7646,S/P ORIF TIBIA FX,1
7647,"S/P MVC,TRAUMA",1
7648,"S/P MVC,HEAD INJURY",1
7649,"S/P MVC, SAH",1
7650,"S/P MVC, LIVER LACERATION",1
7651,S/P MOTOR VEHICLE CRASH WITH SUBRACHNOID HEMORRHAGE,1
7652,S/P MOTOR VEHICLE CRASH/FLAIL CHEST,1
7653,S/P MOTOR VEWHICLE ACCIDENT,1
7654,S/P MOTORCYCLE ACCIDENT WITH MULTIPLE INJURIES,1
7655,S/P MOTORCYCLE ACCIDENT;?RUPTURED AIRWAY,1
7656,S/P MOTORCYCLE ACCIDENT;BLUNT TRAUMA,1
7657,S/P MPOTOR VEHICLE ACCIDENT,1
7658,S/P MULTI STAB WOUNDS,1
7659,S/P MVA-C5-6 FX-RT1ST LT CLAVICLE,1
7660,S/P MVA-MESENTERIC HEMATOMA,1
7661,"S/P MVA, FACIAL FRACTURE",1
7662,"S/P MVA, HEAD BLEED",1
7663,"S/P MVA,SPLENIC LACERATION",1
7664,S/P MVA; FACIAL TRAUMA,1
7665,S/P MVA; LX IPH,1
7666,S/P MVA; SPINAL CORD INJURY,1
7667,S/P MVA;MULTIPLE FRACTURES,1
7668,S/P MVA;MYOCARDIAL INFARCTION,1
7669,S/P MVA;PEDESTRIAN STRUCK,1
7670,S/P MVA;RULE-OUT MYOCARDIAL INFARCTION,1
7671,S/P MVC R SUBARACHNOID BLEED,1
7672,S/P PACEMAKER;PLEURAL EFFUSION;SP PNEUMOTHORAX\PERICARDIOCENTESIS,1
7673,S/P PANCREATIC TX-RIGHT ABDOMINAL PAIN,1
7674,S/P PEA ARREST,1
7675,S/P RIGID BRONCH,1
7676,S/P SEPSIS,1
